,case,site,Pop,sex,age,hdlngth,skullw,totlngth,taill,footlgth,earconch,eye,chest,belly
0,1,1,0,1,8.0,0.4209958713287422,1.1348832172330001,0.44560337116958326,-0.5177315900810715,1.387778865131847,1.5574306699662797,0.14717723520842346,0.4912222551394791,1.2418737877913686
1,2,1,0,0,6.0,-0.028931636629531077,0.23119715527443038,1.0283844401036477,-0.26133118356473184,0.928308524056372,0.7505010112518671,0.9124988582922289,0.7368333827092186,0.15042414894374376
2,3,1,0,0,6.0,0.3928754020813517,1.0057852083817762,1.9608341503981508,1.020670849016966,1.5945405186158121,0.9216679085549234,0.43417284386485094,1.4736667654184372,0.5142406952262853
3,4,1,0,0,6.0,0.167911648102215,0.06982464421039991,1.1449406538904607,0.5078700359842869,1.7553551379922259,0.9950251502562347,0.14717723520842346,0.4912222551394791,0.5142406952262853
4,5,1,0,0,2.0,-0.3101363291034529,-0.18837137349205021,-0.37029012533810696,-0.5177315900810715,0.5837057682497656,1.2395492892606024,0.051512032322948216,0.7368333827092186,0.15042414894374376
5,6,1,0,0,1.0,0.13979117885482042,-0.6724889066841416,0.795272012530022,-0.774131996597411,1.0891231434327888,1.337358944862349,-0.8094747936463325,1.4736667654184372,-0.21339239733879786
6,7,1,0,1,2.0,0.7584415022974492,0.4248441685512674,0.5621595849563962,-0.5177315900810715,0.6985733535186344,0.9461203224553605,-0.8094747936463325,1.4736667654184372,0.6961489683675562
7,8,1,0,0,6.0,0.6178391560604883,0.23119715527443038,0.9118282263168348,-0.0049307770483922675,0.9742555581639201,1.4107161865636586,-0.522479184989905,0.9824445102789582,0.5142406952262853
8,9,1,0,0,9.0,0.22415258659700016,-0.18837137349205021,1.0283844401036477,-0.0049307770483922675,0.9053350070025995,1.166192047559291,0.43417284386485094,0.4912222551394791,0.15042414894374376
9,10,1,0,0,6.0,-0.22577492136127716,0.3602951641256543,0.5621595849563962,0.2514696294679473,0.5607322511959931,1.288454117061475,-0.6181443878753803,0.24561112756973955,-0.21339239733879786
10,11,1,0,0,9.0,0.19603211734960557,0.10209914642320647,0.5621595849563962,1.020670849016966,2.008063825583739,0.7749534251523025,-0.1398183734480023,1.9648890205579164,0.5142406952262853
